ticket,open_time,close_time,symbol,direction,lots,entry_price,exit_price,stop_loss,take_profit,gross_pnl,commission,swap,net_pnl,pips,setup,emotion,execution_rating,mistakes,notes
10000003,2026-02-12 08:46:00,2026-02-12 09:48:44,EURUSD,Sell,0.1,1.10161,1.08818,1.1079,1.08438,134.36,3.5,-0.33,,,BOS Continuation,Neutral,4,,"Clean liquidity grab below Asia low, entered on displacement. Managed to partial at 2R."
10000012,2026-02-12 15:44:00,2026-02-12 15:58:58,XAUUSD,Buy,0.14,2376.87,2355.07,2355.46,2436.97,-305.24,4.9,-2.08,,,CHoCH Reversal,Calm,2,,Waited for the 4H order block to be swept before entering. Entry on the 15m CHoCH.
10000016,2026-02-13 16:47:00,2026-02-13 17:20:16,USDJPY,Buy,0.13,158.2,158.96,157.5,159.75,64.38,4.55,-1.24,,,Breakout,Confident,4,Early Exit; Overtrading,Traded through the news release without checking the calendar. Slipped badly.
10000026,2026-02-13 15:38:00,2026-02-13 16:06:41,GBPJPY,Buy,0.12,193.18,194.39,191.93,195.4,94.19,4.2,-2.11,,,CHoCH Reversal,Calm,5,Overtrading,Ignored the daily bias and took the counter-trend setup because the 5m looked pretty.
10000030,2026-02-13 09:20:00,2026-02-13 12:20:13,XAUUSD,Sell,0.19,2326.3,2361.81,2344.85,2310.18,-674.61,6.65,0.42,,,Breaker Block,Frustrated,3,Moved Stop Loss; Overtrading,"Entered before the sweep completed. Impatient, price took my stop then went my way."
10000039,2026-02-13 07:34:00,2026-02-13 08:05:44,XAUUSD,Buy,0.19,2341.65,2330.8,2328.99,2362.16,-206.23,6.65,1.28,,,Breakout,Anxious,2,Overtrading,"Entered before the sweep completed. Impatient, price took my stop then went my way."
10000044,2026-02-13 17:05:00,2026-02-13 17:46:51,GBPJPY,Buy,0.14,197.26,198.21,196.45,198.52,86.25,4.9,0.69,,,BOS Continuation,Patient,4,Oversized Position; Overtrading,Traded through the news release without checking the calendar. Slipped badly.
10000054,2026-02-16 10:05:00,2026-02-16 11:01:08,GBPJPY,Buy,0.16,195.15,195.81,194.57,195.92,69.14,5.6,0.26,,,Order Block,Confident,4,,Small size because spread was wide before the news. Still respected the invalidation.
10000061,2026-02-16 10:07:00,2026-02-16 10:29:10,EURUSD,Buy,0.21,1.09751,1.09144,1.09335,1.10387,-127.55,7.35,2.47,,,CHoCH Reversal,Frustrated,3,Moved Stop Loss,Traded through the news release without checking the calendar. Slipped badly.
10000064,2026-02-17 09:37:00,2026-02-17 10:17:29,GBPJPY,Buy,0.12,196.32,197.7,195.24,198.13,107.54,4.2,-2.11,,,BOS Continuation,Confident,3,,"Patience paid off — sat on hands for two hours, one A+ setup, took it, done for the day."
10000072,2026-02-17 14:07:00,2026-02-17 15:05:15,USDJPY,Sell,0.13,157.04,156.25,157.77,155.46,66.97,4.55,-2.09,,,FVG Fill,Confident,3,,"Followed the plan exactly. No adjustment to stop, target hit while I was away from screen."
10000079,2026-02-18 11:00:00,2026-02-18 11:56:14,XAUUSD,Sell,0.13,2405.28,2385.54,2424.49,2380.18,256.66,4.55,-0.24,,,Liquidity Sweep,Neutral,4,,"Followed the plan exactly. No adjustment to stop, target hit while I was away from screen."
10000088,2026-02-19 07:07:00,2026-02-19 07:34:25,USDJPY,Sell,0.16,159.09,159.71,159.73,158.07,-64.56,5.6,1.77,,,Momentum,FOMO,3,Chased Price; Late Entry,Closed at +0.4R out of fear while the target was still 2R away. Price hit target later.
10000093,2026-02-24 08:19:00,2026-02-24 09:03:41,USDJPY,Sell,0.14,156.33,156.99,157.06,154.43,-60.04,4.9,-1.21,,,Momentum,Calm,3,,"Followed the plan exactly. No adjustment to stop, target hit while I was away from screen."
10000101,2026-02-25 14:57:00,2026-02-25 15:28:23,USDJPY,Sell,0.35,155.73,155.26,156.38,154.87,105.1,12.25,1.49,,,FVG Fill,Bored,3,No Setup / Impulse; Oversized Position,Moved the stop further away because I 'knew' it would come back. It did not.
10000109,2026-02-25 14:33:00,2026-02-25 14:39:20,US500,Sell,0.08,5340.66,5298.98,5372.61,5260.77,33.34,2.8,-1.9,,,Breakout,Calm,4,,"Followed the plan exactly. No adjustment to stop, target hit while I was away from screen."
10000113,2026-02-26 14:07:00,2026-02-26 15:42:09,XAUUSD,Buy,0.12,2364.96,2380.95,2349.88,2389.8,191.92,4.2,0.66,,,Breaker Block,FOMO,3,Chased Price; Late Entry,Revenge entry within minutes of the previous loss. Doubled size to get it back. Stupid.
10000122,2026-02-26 11:49:00,2026-02-26 12:35:05,USDJPY,Sell,0.14,157.58,158.28,158.33,156.52,-63.38,4.9,0.37,,,Liquidity Sweep,FOMO,2,Chased Price; Late Entry,Traded through the news release without checking the calendar. Slipped badly.
10000131,2026-02-26 10:11:00,2026-02-26 15:13:43,EURUSD,Buy,0.11,1.0767,1.07384,1.07453,1.07961,-31.43,3.85,-1.05,,,Breakout,Anxious,1,Moved Stop Loss,Traded through the news release without checking the calendar. Slipped badly.
10000138,2026-02-27 15:45:00,2026-02-27 16:44:35,EURUSD,Sell,0.3,1.08769,1.09187,1.09194,1.08191,-125.62,10.5,-2.51,,,Liquidity Sweep,Patient,4,Oversized Position,Moved the stop further away because I 'knew' it would come back. It did not.
